date,AAPL,AMZN,CSCO,DIS,GOOG,INTC,ITIC,JPM,KO,META,MSFT,NFLX,NVDA,PEP,PFE,PG,TSLA,V,VZ,XOM
2023-06-21,0.0,0.0,0.0,0.12222222222222223,0.0,-0.1625,0.25,0.05959595959595959,0.2,0.0,0.0715909090909091,0.0,0.55,0.25,0.09583333333333333,0.35,0.22916666666666666,0.1034090909090909,0.0,0.0
2023-06-22,0.0,0.0,0.18392857142857144,0.5333333333333333,0.0,-0.1625,0.25,-0.059949494949494954,0.2,0.11117424242424241,0.0715909090909091,0.0,0.5145454545454545,0.15867424242424244,0.13333333333333333,0.2215909090909091,-0.021969696969696972,-0.05,0.0,0.0
2023-06-23,0.0,0.0,0.18392857142857144,0.5333333333333333,0.0,-0.1625,0.25,0.012500000000000011,0.06666666666666667,0.11117424242424241,0.0715909090909091,0.0,0.5145454545454545,0.15867424242424244,0.13333333333333333,0.23314393939393938,0.27777777777777773,0.0,0.0,0.0
2023-06-24,0.0,0.0,0.18392857142857144,0.5333333333333333,0.0,-0.1625,0.25,0.012500000000000011,0.16666666666666666,0.11117424242424241,-0.08787878787878789,0.0,0.5145454545454545,0.15867424242424244,0.13333333333333333,0.23314393939393938,-0.4,0.0,0.225,0.0
2023-06-25,0.0,0.0,0.18392857142857144,0.5333333333333333,0.0,-0.1625,0.25,0.012500000000000011,0.16666666666666666,0.11117424242424241,-0.08787878787878789,0.0,0.5145454545454545,0.15867424242424244,0.13333333333333333,0.23314393939393938,-0.4,0.0,0.225,0.0
2023-06-26,0.0,0.09999999999999999,0.18392857142857144,-0.05,-0.023989898989898995,-0.1625,0.25,0.0,0.05277777777777778,0.11117424242424241,0.19932659932659932,0.0,0.0,0.0,-0.035416666666666666,0.0725,-0.4,0.049999999999999996,0.225,0.0
2023-06-27,0.0,0.3875,0.18392857142857144,-0.05,-0.0375,-0.1625,0.25,-0.04675925925925926,0.0625,-0.005555555555555559,0.06515151515151514,0.0,0.03409090909090909,0.07666666666666666,-0.035416666666666666,0.5166666666666667,0.19999999999999998,-0.02670454545454546,1.0,0.0
2023-06-28,0.0,0.40909090909090906,0.18392857142857144,0.35,-0.0375,-0.1625,0.25,0.0,0.25,-0.005555555555555559,0.42121212121212126,0.0,-0.042171717171717166,0.03125,-0.035416666666666666,0.10227272727272727,0.19999999999999998,0.14865319865319865,0.0,0.16666666666666666
2023-06-29,0.0,0.07727272727272727,0.18392857142857144,0.35,-0.0375,-0.1625,0.25,0.0,1.0,0.07878787878787878,0.21265151515151515,0.0,0.05212121212121212,0.06759259259259259,0.0880952380952381,0.08,0.19999999999999998,0.14865319865319865,0.12222222222222223,0.061111111111111116
2023-06-30,0.0,0.05390625,0.18392857142857144,0.12237499999999998,0.125,-0.1625,0.25,0.0,1.0,0.07878787878787878,0.21265151515151515,0.0,0.1,0.0,0.10185185185185186,0.08,0.19999999999999998,0.0,0.13636363636363635,0.061111111111111116
